"range","equ_of","pol_of","equ_op","pol_op","weighted_equ_of","weighted_pol_of","weighted_equ_op","weighted_pol_op","species","source"
"Tautogolabrus.adspersus_IUCN",2,135,10744,2423,7,2767.5,515712,75113,"Tautogolabrus adspersus","IUCN"
"Thalassoma.lucasanum_IUCN",10,12,11894,6552,150,348,570912,222768,"Thalassoma lucasanum","IUCN"
"Anodontia.bullula_GBIF",102,4,100,137,1989,22,1450,3904.5,"Anodontia bullula","GBIF"
"Barbatia.pistachia_GBIF",0,41,282,2,0,881.5,9729,17,"Barbatia pistachia","GBIF"
"Cerastoderma.edule_GBIF",16,135,1078,707,208,3915,52822,23331,"Cerastoderma edule","GBIF"
"Divaricella.irpex_GBIF",66,4,143,108,825,30,2717,2592,"Divaricella irpex","GBIF"
"Halozetes.belgicae_GBIF",0,0,0,814,0,0,0,63085,"Halozetes belgicae","GBIF"
"Hemigrapsus.nudus_GBIF",0,21,405,66,0,609,19237.5,825,"Hemigrapsus nudus","GBIF"
"Littorina.littorea_GBIF",0,143,1223,631,0,4147,68488,16406,"Littorina littorea","GBIF"
"Littorina.obtusata_GBIF",76,371,886,1835,1216,11501,43857,63307.5,"Littorina obtusata","GBIF"
"Littorina.saxatilis_GBIF",36,478,1575,1624,360,15296,83475,50344,"Littorina saxatilis","GBIF"
"Macoma.balthica_GBIF",21,743,1455,1095,84,23033,80752.5,31207.5,"Macoma balthica","GBIF"
"Mytilus.edulis_GBIF",30,670,1586,1371,210,26800,92781,34960.5,"Mytilus edulis","GBIF"
"Nacella.concinna_GBIF",91,46,12,744,1365,644,138,9300,"Nacella concinna","GBIF"
"Nucella.lapillus_GBIF",55,485,644,1783,770,19400,35420,51707,"Nucella lapillus","GBIF"
"Petrolisthes.gracilis_GBIF",3,0,261,294,34.5,0,6786,11466,"Petrolisthes gracilis","GBIF"
"Petrolisthes.hirtipes_GBIF",3,0,262,218,24,0,6943,7303,"Petrolisthes hirtipes","GBIF"
